図鑑番号,アイテム名,カテゴリ,調査状況,入手方法・補足,売値,出典URL,備考,取得状況,植付季節,収穫季節,使用材料,対応加工機,加工機候補,最終更新
1,アスパラガスの種,種・苗,確定,,,,,取得済,春,春,,,,2026/8/23
2,タマネギの種,種・苗,確定,,,,,取得済,春,春,,,,2026/8/23
3,エンドウ豆の種,種・苗,確定,,,,,取得済,春,春,,,,2026/8/23
4,カブの種,種・苗,確定,,,,,取得済,春,春,,,,2026/8/23
5,ジャガイモの種,種・苗,確定,,,,,取得済,春,春,,,,2026/8/23
6,ラディッシュの種,種・苗,確定,,,,,取得済,春,春,,,,2026/8/23
7,キャベツの種,種・苗,確定,,,,,未取得,春,春,,,,2026/8/23
8,レタスの種,種・苗,確定,,,,,取得済,春,春,,,,2026/8/23
9,ニンジンの種,種・苗,確定,,,,,取得済,春,春,,,,2026/8/23
10,イチゴの種,種・苗,確定,,,,,取得済,春,春,,,,2026/8/23
11,白ネギの種,種・苗,確定,,,,,取得済,夏,夏,,,,2026/8/23
12,トマトの種,種・苗,確定,,,,,取得済,夏,夏,,,,2026/8/23
13,ナスの種,種・苗,確定,,,,,取得済,夏,夏,,,,2026/8/23
14,ピーマンの種,種・苗,確定,,,,,取得済,夏,夏,,,,2026/8/23
15,カボチャの種,種・苗,確定,,,,,取得済,夏,夏,,,,2026/8/23
16,キュウリの種,種・苗,確定,,,,,取得済,夏,夏,,,,2026/8/23
17,トウモロコシの種,種・苗,確定,,,,,取得済,夏,夏,,,,2026/8/23
18,ショウガの種,種・苗,確定,,,,,取得済,夏,夏,,,,2026/8/23
19,ニンニクの種,種・苗,確定,,,,,取得済,夏,夏,,,,2026/8/23
20,スイカの種,種・苗,確定,,,,,取得済,夏,夏,,,,2026/8/23
21,メロンの種,種・苗,確定,,,,,取得済,夏,夏,,,,2026/8/23
22,パイナップルの種,種・苗,確定,,,,,未取得,夏,夏,,,,2026/8/23
23,ブルーベリーの種,種・苗,確定,,,,,取得済,夏,夏,,,,2026/8/23
24,小麦の種,種・苗,確定,,,,,取得済,夏,夏,,,,2026/8/23
25,ホップの種,種・苗,確定,,,,,取得済,夏,夏,,,,2026/8/23
26,サトウキビの種,種・苗,確定,,,,,取得済,夏,夏,,,,2026/8/23
27,エダマメの種,種・苗,確定,,,,,取得済,夏,夏・秋,,,,2026/8/23
28,ソバの種,種・苗,確定,,,,,取得済,秋,秋,,,,2026/8/23
29,サトイモの種,種・苗,確定,,,,,取得済,秋,秋,,,,2026/8/23
30,サツマイモの種,種・苗,確定,,,,,取得済,秋,秋,,,,2026/8/23
31,シイタケの栽培キット,種・苗,確定,,,,,取得済,秋,秋,,,,2026/8/23
32,シメジの栽培キット,種・苗,確定,,,,,取得済,秋,秋,,,,2026/8/23
33,キクラゲの栽培キット,種・苗,確定,,,,,取得済,秋,秋,,,,2026/8/23
34,オリーブの種,種・苗,確定,,,,,取得済,秋,秋,,,,2026/8/23
35,ゴマの種,種・苗,確定,,,,,取得済,秋,秋,,,,2026/8/23
36,ハクサイの種,種・苗,確定,,,,,取得済,冬,冬,,,,2026/8/23
37,ダイコンの種,種・苗,確定,,,,,取得済,冬,冬,,,,2026/8/23
38,ホウレンソウの種,種・苗,確定,,,,,取得済,冬,冬,,,,2026/8/23
39,お茶の木の苗,種・苗,確定,,,,,取得済,春,春,,,,2026/8/23
40,桑の木の苗,種・苗,確定,,,,,取得済,夏,夏,,,,2026/8/23
41,お米の苗,種・苗,確定,,,,,取得済,春,夏・秋,,,,2026/8/23
42,ワサビの苗,種・苗,確定,,,,,取得済,春・夏,春・夏,,,,2026/8/23
43,レンコンの苗,種・苗,確定,,,,,取得済,秋・冬,秋・冬,,,,2026/8/23
44,カモミールの種,種・苗,確定,,,,,取得済,春,春,,,,2026/8/23
45,ヒヤシンスの種,種・苗,確定,,,,,取得済,春,春,,,,2026/8/23
46,アヤメの種,種・苗,確定,,,,,未取得,春,春,,,,2026/8/23
47,チューリップの種,種・苗,確定,,,,,取得済,春,春,,,,2026/8/23
48,なでしこの種,種・苗,確定,,,,,取得済,春,春,,,,2026/8/23
49,ポピーの種,種・苗,確定,,,,,取得済,春,春,,,,2026/8/23
50,勿忘草の種,種・苗,確定,,,,,取得済,春,春,,,,2026/8/23
